title,date,when,venue_name,venue_rating,venue_reviews,address,description,link,ticket_info,fetch_date,days_until_event
Open Mic Event,Jan 13,"Dec 20, 2024, 7:00 PM – Jan 19, 2025, 12:28 PM CST",The Water Tank,4.3,841,"The Water Tank, 7309 McNeil Dr, Austin, TX",No description available,https://www.openmicaustin.com/MoreInfo/NDk0OCMjIyNURVhU,Austin: https://www.openmicaustin.com/MoreInfo/NDk0OCMjIyNURVhU,2025-01-13,-20089
Bridal Extravaganza in Austin,Jan 13,"Sun, Jan 12, 12 – 5 PM CST",Palmer Events Center,4.5,1139,"Palmer Events Center, 900 Barton Springs Rd, Austin, TX","Get ready for the ultimate bridal bash at Bridal Extravaganza, where you'll find everything you need to plan your dream wedding.",https://amp.eventbrite.hk/b/tx--yorktown/fashion/bridal/,Eventbrite.com: https://www.eventbrite.com/e/bridal-extravaganza-in-austin-tickets-966469324767; AllEvents.in: https://allevents.in/org/texas-weddings-ltd/24430278; 10Times: https://10times.com/bridal-extravanganza-austin; Canton Fair Net: https://www.cantonfair.net/event/21482-bridal-extravanganza-austin,2025-01-13,-20089
Hot Wheels Monster Trucks Live Glow Party,Jan 19,"Sun, Jan 19, 2:30 – 6:30 PM CST",Moody Center,4.4,3221,"Moody Center, 2001 Robert Dedman Dr, Austin, TX","Hot Wheels Monster Trucks Live: Glow-N-Fire brings fans' favorite Hot Wheels Monster Trucks to life including Mega Wrex, Tiger Shark, HW 5-Alarm, Bone Shaker, Bigfoot®, Gunkster, and introducing",https://universitystar.com/?_evDiscoveryPath=/event/35837325t-hot-wheels-monster-trucks-live-glow-n-fire,Evvnt.com: https://evvnt.com/events/?_evDiscoveryPath=/event/35837325t-hot-wheels-monster-trucks-live-glow-n-fire; KXAN: https://www.kxan.com/calendar/?_escaped_fragment_=/show/?ser=GTAustin#!/details/hot-wheels-monster-trucks-live-glow-n-fire/14156832/2025-01-19T14; The University Star: https://universitystar.com/events/?_evDiscoveryPath=/event/35837325t-hot-wheels-monster-trucks-live-glow-n-fire; AARP Local: https://local.aarp.org/event/hot-wheels-monster-truckstm-live-glownfire-2025-01-19-tm-austin-tx.html; Ticketmaster: https://www.ticketmaster.com/hot-wheels-monster-trucks-live-glownfire-austin-texas-01-19-2025/event/3A00611C28F471E7,2025-01-13,-20083
Weekend Playground Meetup - Brentwood Neighborhood Park,Jan 13,"Sun, Jan 12, 1 – 3 PM CST",Brentwood Neighborhood Park,4.6,500,"Brentwood Neighborhood Park, 6710 Arroyo Seco, Austin, TX","Come join us for some outdoor Dad + kids fun at Brentwood Neighborhood Park (6710 Arroyo Seco, Austin, TX 78757). The park has equipment for kids of all ages and lots of walking trails. See you there!",https://www.meetup.com/austindadsgroup/,Meetup: https://www.meetup.com/austindadsgroup/,2025-01-13,-20089
2hollis,Jan 18,"Sat, Jan 18, 9:00 – 11:30 PM CST",Mohawk Austin,4.6,2242,"Mohawk Austin, 912 Red River St, Austin, TX",Find tickets for 2hollis at Mohawk in Austin on 1/18/2025 at 9:00 PM,https://open.spotify.com/concert/3t99x8lgxDkHhC7GJld5Za,Spotify.com: https://open.spotify.com/concert/3t99x8lgxDkHhC7GJld5Za; Unation.com: https://www.unation.com/event/2hollis-56232551/; Gotickets.com: https://gotickets.com/tickets/727498/2hollis-tickets/mohawk-austin-outdoors-austin-tx-1-18-2025; Austin Monthly Magazine: https://www.austinmonthly.com/events/resound-c3-present-2hollis-at-mohawk/; Herald-Zeitung: https://herald-zeitung.com/community_calendar/?_evDiscoveryPath=/event/87035v-resound-c3-present-2hollis-at-mohawk,2025-01-13,-20084
John Waters,Apr 19,"Sat, Apr 19, 4 – 8 PM CDT",The Paramount Theatre,4.7,2658,"The Paramount Theatre, 713 Congress Ave., Austin, TX","Zarna Garg has established herself in the comedy scene, captivating audiences with her quick wit, relatable humor, and distinctive storytelling. Boasting a devoted social media following of 2M",https://www.statesman.com/things-to-do/events/?_evDiscoveryPath=/event/106217700n-zarna-garg-austin-tx-moontower-comedy-festival-,Bandsintown.com: https://www.bandsintown.com/t/106217700?came_from=209; Unation.com: https://www.unation.com/event/zarna-garg-56893059/; Austin American-Statesman: https://www.statesman.com/things-to-do/events/?_evDiscoveryPath=/event/106217700n-zarna-garg-austin-tx-moontower-comedy-festival-; Vivid Seats: https://www.vividseats.com/zarna-garg-tickets-austin-paramount-theatre-austin-4-19-2025--theater-comedy/production/5416299; StubHub: https://www.stubhub.com/zarna-garg-austin-tickets-4-19-2025/event/156616598/,2025-01-13,-19993
The Wiggles,Jun 11,"Wed, Jun 11, 6 – 10 PM CDT",Austin City Limits Live (ACL Live & 3TEN ACL Live),4.7,3907,"Austin City Limits Live (ACL Live & 3TEN ACL Live), 310 W Willie Nelson Blvd, Austin, TX","THE WIGGLES ANNOUNCE THE “TAKING OFF!” NORTH AMERICAN TOUR, AUGUST 17-OCT6 2013 **The Number One Children’s Entertainment Group Introduces, a New Cast Including the First-Ever Female Wiggle, a New",https://www.statesman.com/things-to-do/events/?_evDiscoveryPath=/event/683578s-the-wiggles-bouncing-balls-tour,Axs.com: https://www.axs.com/uk/events/683578/the-wiggles-bouncing-balls-tour-tickets; KXAN: https://www.kxan.com/calendar/?_escaped_fragment_=/show/?start=2022-10-01#!/details/the-wiggles-bouncing-balls-tour/14255124/2025-06-11T18; Austin American-Statesman: https://www.statesman.com/things-to-do/events/?_evDiscoveryPath=/event/36023792t-the-wiggles-bouncing-balls-tour; Herald-Zeitung: https://herald-zeitung.com/local-events/?_evDiscoveryPath=/event/683578s-the-wiggles-bouncing-balls-tour; The University Star: https://universitystar.com/page/289/?_evDiscoveryPath=%2Fevent%2F683578s-the-wiggles-bouncing-balls-tour,2025-01-13,-19940
Charli xcx,Apr 22,"Tue, Apr 22, 8 PM – Wed, Apr 23, 3 PM CDT",Moody Center,4.4,3221,"Moody Center, 2001 Robert Dedman Dr, Austin, TX",Find tickets for Charli xcx at Moody Center ATX in Austin on 4/22/2025 at 8:00 PM,https://open.spotify.com/concert/2AIjAQNSJMEizGNpFaohDZ,Spotify.com: https://open.spotify.com/concert/2AIjAQNSJMEizGNpFaohDZ; Axs.com: https://www.axs.com/au/events/776128/charli-xcx-tickets; Koobit.com: https://www.koobit.com/visit?sem=350698&su=/charli-xcx-e58258; Live Nation: https://www.livenation.com.au/charli-xcx-tickets-adp268059; AARP Local: https://local.aarp.org/event/charli-xcx-brat-2025-arena-tour-2025-04-22-tm-austin-tx.html,2025-01-13,-19990
Rod Wave,Jan 15,"Wed, Jan 15, 7 – 11 PM CST",Moody Center,4.4,3221,"Moody Center, 2001 Robert Dedman Dr, Austin, TX","Attend the Rod Wave - Last Lap Tour event in Austin, TX at the Moody Center ATX, in Austin located at 2001 Robert Dedman Drive. The event starts at 7:00 P.M. on Wednesday, Jan 15, 2025. We want to",https://local.aarp.org/event/rod-wave-last-lap-tour-2025-01-15-tm-austin-tx.html,Axs.com: https://www.axs.com/events/765275/rod-wave-tickets; Unation.com: https://www.unation.com/event/rod-wave-tickets-56496981/; KXAN: https://www.kxan.com/calendar/?_escaped_fragment_=/show/?start=2024-02-15#!/details/rod-wave-last-lap-tour/14632947/2025-01-15T19; Austin American-Statesman: https://www.statesman.com/things-to-do/events/?_evDiscoveryPath=/event/765275s-rod-wave; AARP Local: https://local.aarp.org/event/rod-wave-last-lap-tour-2025-01-15-tm-austin-tx.html,2025-01-13,-20087
Adam Ray presents Dr. Phil LIVE,Apr 19,"Sat, Apr 19, 12:00 AM – 11:59 PM CDT",Bass Concert Hall,4.6,2725,"Bass Concert Hall, 2350 Robert Dedman Dr, Austin, TX","With over 10 million views online, Dr. Phil LIVE has become one of the most fun things to see in comedy. From comedian/actor Adam Ray ( Curb , The Barbie Movie , MadTV , Hacks , Pam & Tommy , The",https://finearts.utexas.edu/events/adam-ray-presents-dr-phil-live,Austin-theater.com: https://www.austin-theater.com/shows/bass-concert-hall/adam-ray/tickets/calendar; College of Fine Arts - The University of Texas at Austin: https://finearts.utexas.edu/events/adam-ray-presents-dr-phil-live; KXAN: https://www.kxan.com/calendar/?ipid=promo-chartbeat-desktop#!/details/adam-ray-presents-dr-phil-live/14657358/2025-04-19T19; Austin American-Statesman: https://www.statesman.com/things-to-do/events/?_evDiscoveryPath=/event/766216s-adam-ray; The University Star: https://universitystar.com/?_evDiscoveryPath=/event/766216s-adam-ray,2025-01-13,-19993
